type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
IDT,2021-12-01T01:49:30,2021-12-01T08:49,419,31.72505966587112,NaN,NaN,NaN,NaN
IDT,2021-12-02T01:33:30,2021-12-02T08:37,421,32.22327790973872,0.0,1118.8718764844816,0.5733608373763245,1.6321705359111176
IDT,2021-12-03T00:54,2021-12-03T09:35:30,522,32.858620689655176,165.8244655581948,478.1638953592628,0.5523568547163112,1.2901208431523437
IDT,2021-12-04T02:14:30,2021-12-04T11:15:30,534,32.585767790262175,-3.637978807091713E-12,1083.2718352056108,0.4841412287238978,1.342874981363504
IDT,2021-12-05T03:04,2021-12-05T11:59:30,530,32.338490566037734,-65.52846441947258,1853.0966408473905,0.43551332971625495,1.5024725627310906
IDT,2021-12-06T02:15,2021-12-06T10:40,505,32.74079207920792,78.28726591759914,875.4961109007709,0.4142059058229374,1.4659556908204288
IDT,2021-12-07T02:06,2021-12-07T09:30,444,33.450225225225225,349.4037089776393,620.8115807371214,0.5151659674912511,1.417249947895
IDT,2021-12-08T02:02,2021-12-08T09:40:30,459,32.85816993464052,53.87643564356404,1252.440763219376,0.4895843977649474,1.450512720457794
IDT,2021-12-09T00:47:30,2021-12-09T09:32,524,32.303053435114506,-188.75868580116367,1334.2509951628745,0.47286146325912337,1.47582281086347
IDT,2021-12-10T00:23,2021-12-10T09:53:30,558,32.742652329749106,1.038019801981136,1363.8868055287749,0.4507931834142096,1.4873237794275018
IDT,2021-12-11T04:41,2021-12-11T11:28:30,408,32.86446078431373,50.07734057276684,512.0011030363385,0.4361138622785022,1.459908830769713
IDT,2021-12-12T01:51:30,2021-12-12T11:06:30,553,31.31627486437613,-787.7580198019787,2422.368386550341,0.5541585992329576,1.5370947441049692
IDT,2021-12-13T02:03:30,2021-12-13T10:05:30,482,32.99917012448133,124.0898974413576,1030.3263540394837,0.5470531807100613,1.5318847848585346
IDT,2021-12-14T01:22,2021-12-14T09:13:30,472,32.391949152542374,-164.6538613861394,1521.2677416723454,0.5289891803903358,1.5520524448871176
IDT,2021-12-15T01:56,2021-12-15T10:00,484,31.44938016528926,-587.5274884117607,1980.5292967756977,0.580548692975863,1.5844550881502963
IDT,2021-12-16T01:22,2021-12-16T08:25,423,31.73191489361702,-361.1797752808998,2580.2335462694755,0.5908380993455739,1.6442363277208922
IDT,2021-12-17T02:03,2021-12-17T11:03:30,534,32.09569288389513,-209.95042372881653,2642.5853753252886,0.5788513444969718,1.687753670428331
IDT,2021-12-18T00:52:30,2021-12-18T09:56:30,544,32.80055147058824,116.8423220973782,542.1856585165951,0.5693088748034987,1.6540207950866808
IDT,2021-12-19T04:55,2021-12-19T10:48,353,33.46402266288952,282.6621830385284,1253.5527754110517,0.5996421443278556,1.667118812123213
IDT,2021-12-20T02:39:30,2021-12-20T11:20,520,33.152884615384615,214.28811881188085,1036.2022074304987,0.6020722524824516,1.6556656469150357
IDT,2021-12-21T02:03:30,2021-12-21T09:09,425,33.767294117647054,435.8680630966319,888.5294315944193,0.6447663617345237,1.6491582088044427
IDT,2021-12-22T00:52:30,2021-12-22T09:26,513,34.17602339181286,735.3193548387062,1316.3205723203719,0.7125859518285346,1.647387956748254
IDT,2021-12-23T02:41,2021-12-23T09:47,426,32.9262910798122,65.89759052814406,537.0391841254896,0.699233833223229,1.6295293163989215
IDT,2021-12-24T02:31,2021-12-24T10:13,462,32.243290043290045,-230.7053763440872,1080.679763363907,0.6895570042822232,1.62571637956029
IDT,2021-12-25T02:54:30,2021-12-25T11:06:30,492,32.23191056910569,-250.82732460342777,956.5836926172487,0.680417340137154,1.6165115394426544
IDT,2021-12-26T01:36,2021-12-26T11:37:30,602,32.91478405315615,103.6232974910381,1908.795278709149,0.6694964845387531,1.625063439822521
IDT,2021-12-27T00:53,2021-12-27T08:02:30,430,33.70162790697674,399.9111829274698,1098.3766610010061,0.6870541609403852,1.6239557009275682
IDT,2021-12-28T00:53:30,2021-12-28T09:03,489,31.627811860940696,-545.1569892473126,1697.6248321578605,0.7021795121430081,1.633630690417541
IDT,2021-12-29T01:45,2021-12-29T10:09,504,32.35575396825397,-194.52799105716986,984.9449390966911,0.6919110100921906,1.625314793370853
IDT,2021-12-30T00:22:30,2021-12-30T09:39,556,33.797661870503596,587.1024543099447,902.1117299580947,0.72304059223891,1.6131851140513846
IDT,2021-12-31T02:45:30,2021-12-31T10:03,437,30.85080091533181,-826.3326033571102,4237.642131283646,0.7776286968247892,1.677149156374629
IDT,2022-01-01T02:25,2022-01-01T10:23:30,479,32.96576200417537,93.00268981920453,473.3559087967733,0.7759848644973545,1.6607854740221413