timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2022-02-01T03:50:30,14.8,0.7,6.081,14.8,0.7,6.081,14.6,1.0,6.883,13.4,2.0,4.559
2022-02-01T08:39:30,14.6,0.9,8.391,14.6,0.9,8.391,13.8,1.8,8.88,13.6,1.2,4.274
2022-02-02T09:56:30,14.0,0.9,12.101,14.0,0.9,12.101,13.4,1.6,14.884,13.0,1.5,5.711
2022-02-03T07:55:30,14.2,1.0,16.928,14.2,1.0,16.928,13.4,1.2,17.143,14.0,1.3,2.911
2022-02-04T09:47:00,14.0,0.9,7.825,14.0,0.9,7.825,13.2,1.2,6.873,13.6,1.4,3.893
2022-02-05T08:59:30,15.2,1.2,7.834,15.2,1.2,7.834,14.2,1.0,9.367,14.4,0.8,4.472
2022-02-06T11:06:30,15.0,1.5,8.845,15.0,1.5,8.845,14.2,1.6,6.579,15.0,0.6,3.11
2022-02-07T08:50:30,14.4,0.9,12.89,14.4,0.9,12.89,13.8,1.3,12.386,14.2,1.1,3.835
2022-02-08T09:58:30,14.4,1.4,12.095,14.4,1.4,12.095,13.6,1.7,13.295,14.0,1.6,4.416
2022-02-09T09:45:30,14.2,1.6,16.215,14.2,1.6,16.215,13.6,1.3,15.351,14.0,1.3,7.15
2022-02-10T08:22:00,15.2,0.9,11.84,15.2,0.9,11.84,13.6,1.4,16.078,13.6,1.1,5.018
2022-02-11T08:36:30,13.8,1.1,12.602,13.8,1.1,12.602,13.6,1.4,14.071,13.4,1.2,5.144
2022-02-12T09:51:00,13.6,0.6,12.235,13.6,0.6,12.235,14.0,1.4,18.527,14.4,1.6,5.263
2022-02-13T08:56:00,14.6,1.5,15.343,14.6,1.5,15.343,14.4,2.0,10.799,14.4,1.4,5.366
2022-02-14T07:02:30,14.2,0.7,13.558,14.2,0.7,13.558,13.8,1.7,14.197,13.6,1.2,5.837
2022-02-15T05:32:00,13.4,1.3,12.571,-1.0,0.0,0.0,13.4,1.3,12.571,13.6,1.0,4.763
2022-02-16T03:48:30,14.0,0.7,10.884,14.0,0.7,10.884,13.6,1.2,9.676,12.0,0.6,3.013
2022-02-16T09:26:30,14.2,0.9,14.132,14.2,0.9,14.132,13.4,1.4,14.059,14.2,1.0,6.694
2022-02-17T08:56:30,13.8,1.6,9.457,13.8,1.6,9.457,13.8,1.6,9.455,14.0,1.4,3.285
2022-02-18T07:42:00,15.4,1.1,8.661,15.4,1.1,8.661,14.2,1.3,9.439,-1.0,0.0,1.379
2022-02-19T09:21:30,14.6,0.8,12.16,14.6,0.8,12.16,13.4,1.3,14.381,13.8,1.3,6.586
2022-02-20T09:27:00,14.0,1.3,15.11,14.0,1.3,15.11,12.8,0.9,13.639,13.6,1.8,2.507
2022-02-21T08:38:00,14.2,1.3,15.449,14.2,1.3,15.449,13.4,1.5,9.999,13.2,0.5,5.028
2022-02-22T08:45:30,14.6,0.6,9.537,14.6,0.6,9.537,13.2,1.5,11.876,14.0,1.3,4.095
2022-02-23T07:13:30,14.2,1.0,10.595,14.2,1.0,10.595,13.8,1.3,6.36,13.2,1.2,4.725
2022-02-24T07:29:30,14.8,0.8,8.685,14.8,0.8,8.685,13.6,0.9,14.738,13.4,0.9,5.786
2022-02-25T10:07:30,13.8,0.9,15.652,13.8,0.9,15.652,13.0,1.4,17.021,12.8,1.1,3.749
2022-02-26T09:15:00,14.4,1.0,11.937,14.4,1.0,11.937,13.4,1.3,10.595,-1.0,0.0,1.988
2022-02-27T09:42:30,13.0,0.6,18.27,13.0,0.6,18.27,13.6,1.8,7.805,13.6,1.8,5.295
2022-02-28T08:15:00,14.8,1.4,11.572,14.8,1.4,11.572,14.2,1.0,14.518,14.6,1.3,5.13